scaffold;begin;end;window
0,1;2085001;2092500;418
0,1;2090001;2097500;419
0,1;2095001;2102500;420
0,1;2100001;2107500;421
0,1;2105001;2112500;422
0,1;2110001;2117500;423
0,1;2115001;2122500;424
0,1;2120001;2127500;425
0,1;2125001;2132500;426
0,1;2130001;2137500;427
0,1;2135001;2142500;428
0,1;2140001;2147500;429
0,1;2145001;2152500;430
0,1;2150001;2157500;431
0,1;2155001;2162500;432
0,1;2160001;2167500;433
0,1;2165001;2172500;434
0,1;2170001;2177500;435
0,1;2175001;2182500;436
0,1;2180001;2187500;437
0,1;2185001;2192500;438
0,1;2190001;2197500;439
0,1;2195001;2202500;440
0,1;2200001;2207500;441
0,1;2205001;2212500;442
0,1;2210001;2217500;443
0,1;2215001;2222500;444
0,1;2220001;2227500;445
0,1;2225001;2232500;446
0,1;2230001;2237500;447
0,1;2235001;2242500;448
0,1;2240001;2247500;449
0,1;2245001;2252500;450
0,1;2250001;2257500;451
0,1;2255001;2262500;452
0,1;2260001;2267500;453
0,1;2265001;2272500;454
0,1;2270001;2277500;455
0,1;2275001;2282500;456
0,1;2280001;2287500;457
0,1;2285001;2292500;458
0,1;2290001;2297500;459
0,1;2295001;2302500;460
0,1;2300001;2307500;461
0,1;2305001;2312500;462
0,1;2310001;2317500;463
0,1;2315001;2322500;464
0,1;2320001;2327500;465
0,1;2325001;2332500;466
0,1;2330001;2337500;467
0,1;2335001;2342500;468
0,1;2340001;2347500;469
0,1;2345001;2352500;470
0,1;2350001;2357500;471
0,1;2355001;2362500;472
0,1;2360001;2367500;473
0,1;2365001;2372500;474
0,1;2370001;2377500;475
0,1;2375001;2382500;476
0,1;2380001;2387500;477
0,1;2385001;2392500;478
0,1;2390001;2397500;479
0,1;2395001;2402500;480
0,1;2400001;2407500;481
0,1;2405001;2412500;482
0,1;2410001;2417500;483
0,1;2415001;2422500;484
0,1;2420001;2427500;485
0,1;2425001;2432500;486
0,1;2430001;2437500;487
0,1;2435001;2442500;488
0,1;2440001;2447500;489
0,1;2445001;2452500;490
0,1;2450001;2457500;491
0,1;2455001;2462500;492
0,1;2460001;2467500;493
0,1;2465001;2472500;494
0,1;2470001;2477500;495
0,1;2475001;2482500;496
0,1;2480001;2487500;497
0,1;2485001;2492500;498
0,1;2490001;2497500;499
0,1;2495001;2502500;500
0,1;2500001;2507500;501
0,1;2505001;2512500;502
0,1;2510001;2517500;503
0,1;2515001;2522500;504
0,1;2520001;2527500;505
0,1;2525001;2532500;506
0,1;2530001;2537500;507
0,1;2535001;2542500;508
0,1;2540001;2547500;509
0,1;2545001;2552500;510
0,1;2550001;2557500;511
0,1;2555001;2562500;512
0,1;2560001;2567500;513
0,1;2565001;2572500;514
0,1;2570001;2577500;515
0,1;1;7500;516
0,1;5001;12500;517
0,1;10001;17500;518
0,1;15001;22500;519
0,1;20001;27500;520
0,1;25001;32500;521
0,1;30001;37500;522
0,1;35001;42500;523
0,1;40001;47500;524
0,1;45001;52500;525
0,1;50001;57500;526
0,1;55001;62500;527
0,1;60001;67500;528
0,1;65001;72500;529
0,1;70001;77500;530
0,1;75001;82500;531
0,1;80001;87500;532
0,1;85001;92500;533
0,1;90001;97500;534
0,1;95001;102500;535
0,1;100001;107500;536
0,1;105001;112500;537
0,1;110001;117500;538
0,1;115001;122500;539
0,1;120001;127500;540
0,1;125001;132500;541
0,1;130001;137500;542
0,1;135001;142500;543
0,1;140001;147500;544
0,1;145001;152500;545
0,1;150001;157500;546
0,1;155001;162500;547
0,1;160001;167500;548
0,1;165001;172500;549
0,1;170001;177500;550
0,1;175001;182500;551
0,1;180001;187500;552
0,1;185001;192500;553
0,1;190001;197500;554
0,1;195001;202500;555
0,1;200001;207500;556
0,1;205001;212500;557
0,1;210001;217500;558
0,1;215001;222500;559
0,1;220001;227500;560
0,1;225001;232500;561
0,1;230001;237500;562
0,1;235001;242500;563
0,1;240001;247500;564
0,1;245001;252500;565
0,1;250001;257500;566
0,1;255001;262500;567
0,1;260001;267500;568
0,1;265001;272500;569
0,1;270001;277500;570
0,1;275001;282500;571
0,1;280001;287500;572
0,1;285001;292500;573
0,1;290001;297500;574
0,1;295001;302500;575
0,1;300001;307500;576
0,1;305001;312500;577
0,1;310001;317500;578
0,1;315001;322500;579
0,1;320001;327500;580
0,1;325001;332500;581
0,1;330001;337500;582
0,1;335001;342500;583
0,1;340001;347500;584
0,1;345001;352500;585
0,1;350001;357500;586
0,1;355001;362500;587
0,1;360001;367500;588
0,1;365001;372500;589
0,1;370001;377500;590
0,1;375001;382500;591
0,1;380001;387500;592
0,1;385001;392500;593
0,1;390001;397500;594
0,1;395001;402500;595
0,1;400001;407500;596
0,1;405001;412500;597
0,1;410001;417500;598
0,1;415001;422500;599
0,1;420001;427500;600
0,1;425001;432500;601
0,1;430001;437500;602
0,1;435001;442500;603
0,1;440001;447500;604
0,1;445001;452500;605
0,1;450001;457500;606
0,1;455001;462500;607
0,1;460001;467500;608
0,1;465001;472500;609
0,1;470001;477500;610
0,1;475001;482500;611
0,1;480001;487500;612
0,1;485001;492500;613
0,1;490001;497500;614
0,1;495001;502500;615
0,1;500001;507500;616
0,1;505001;512500;617
0,1;510001;517500;618
0,1;515001;522500;619
0,1;520001;527500;620
0,1;525001;532500;621
0,1;530001;537500;622
0,1;535001;542500;623
0,1;540001;547500;624
0,1;545001;552500;625
0,1;550001;557500;626
0,1;555001;562500;627
0,1;560001;567500;628
0,1;565001;572500;629
0,1;570001;577500;630
0,1;575001;582500;631
0,1;580001;587500;632
0,1;585001;592500;633
0,1;590001;597500;634
0,1;595001;602500;635
0,1;600001;607500;636
0,1;605001;612500;637
0,1;610001;617500;638
0,1;615001;622500;639
0,1;620001;627500;640
0,1;625001;632500;641
0,1;630001;637500;642
0,1;635001;642500;643
0,1;640001;647500;644
0,1;645001;652500;645
0,1;650001;657500;646
0,1;655001;662500;647
0,1;660001;667500;648
0,1;665001;672500;649
0,1;670001;677500;650
0,1;675001;682500;651
0,1;680001;687500;652
0,1;685001;692500;653
0,1;690001;697500;654
0,1;695001;702500;655
0,1;700001;707500;656
0,1;705001;712500;657
0,1;710001;717500;658
0,1;715001;722500;659
0,1;720001;727500;660
0,1;725001;732500;661
0,1;730001;737500;662
0,1;735001;742500;663
0,1;740001;747500;664
0,1;745001;752500;665
0,1;750001;757500;666
0,1;755001;762500;667
0,1;760001;767500;668
0,1;765001;772500;669
0,1;770001;777500;670
0,1;775001;782500;671
0,1;780001;787500;672
0,1;785001;792500;673
0,1;790001;797500;674
0,1;795001;802500;675
0,1;800001;807500;676
0,1;805001;812500;677
0,1;810001;817500;678
0,1;815001;822500;679
0,1;820001;827500;680
0,1;825001;832500;681
0,1;830001;837500;682
0,1;835001;842500;683
0,1;840001;847500;684
0,1;845001;852500;685
0,1;850001;857500;686
0,1;855001;862500;687
0,1;860001;867500;688
0,1;865001;872500;689
0,1;870001;877500;690
0,1;875001;882500;691
0,1;880001;887500;692
0,1;885001;892500;693
0,1;890001;897500;694
0,1;895001;902500;695
0,1;900001;907500;696
0,1;905001;912500;697
0,1;910001;917500;698
0,1;915001;922500;699
0,1;920001;927500;700
0,1;925001;932500;701
0,1;930001;937500;702
0,1;935001;942500;703
0,1;940001;947500;704
0,1;945001;952500;705
0,1;950001;957500;706
0,1;955001;962500;707
0,1;960001;967500;708
0,1;965001;972500;709
0,1;970001;977500;710
0,1;975001;982500;711
0,1;980001;987500;712
0,1;985001;992500;713
0,1;990001;997500;714
0,1;995001;1002500;715
0,1;1000001;1007500;716
0,1;1005001;1012500;717
0,1;1010001;1017500;718
0,1;1015001;1022500;719
0,1;1020001;1027500;720
0,1;1025001;1032500;721
0,1;1030001;1037500;722
0,1;1035001;1042500;723
0,1;1040001;1047500;724
0,1;1045001;1052500;725
0,1;1050001;1057500;726
0,1;1055001;1062500;727
0,1;1060001;1067500;728
0,1;1065001;1072500;729
0,1;1070001;1077500;730
0,1;1075001;1082500;731
0,1;1080001;1087500;732
0,1;1085001;1092500;733
0,1;1090001;1097500;734
0,1;1095001;1102500;735
0,1;1100001;1107500;736
0,1;1105001;1112500;737
0,1;1110001;1117500;738
0,1;1115001;1122500;739
0,1;1120001;1127500;740
0,1;1125001;1132500;741
0,1;1130001;1137500;742
0,1;1135001;1142500;743
0,1;1140001;1147500;744
0,1;1145001;1152500;745
0,1;1150001;1157500;746
0,1;1155001;1162500;747
0,1;1160001;1167500;748
0,1;1165001;1172500;749
0,1;1170001;1177500;750
0,1;1175001;1182500;751
0,1;1180001;1187500;752
0,1;1185001;1192500;753
0,1;1190001;1197500;754
0,1;1195001;1202500;755
0,1;1200001;1207500;756
0,1;1205001;1212500;757
0,1;1210001;1217500;758
0,1;1215001;1222500;759
0,1;1220001;1227500;760
0,1;1225001;1232500;761
0,1;1230001;1237500;762
0,1;1235001;1242500;763
0,1;1240001;1247500;764
0,1;1245001;1252500;765
0,1;1250001;1257500;766
0,1;1255001;1262500;767
0,1;1260001;1267500;768
0,1;1265001;1272500;769
0,1;1270001;1277500;770
0,1;1275001;1282500;771
0,1;1280001;1287500;772
0,1;1285001;1292500;773
0,1;1290001;1297500;774
0,1;1295001;1302500;775
0,1;1300001;1307500;776
0,1;1305001;1312500;777
0,1;1310001;1317500;778
0,1;1315001;1322500;779
0,1;1320001;1327500;780
0,1;1325001;1332500;781
0,1;1330001;1337500;782
0,1;1335001;1342500;783
0,1;1340001;1347500;784
0,1;1345001;1352500;785
0,1;1350001;1357500;786
0,1;1355001;1362500;787
0,1;1360001;1367500;788
0,1;1365001;1372500;789
0,1;1370001;1377500;790
0,1;1375001;1382500;791
0,1;1380001;1387500;792
0,1;1385001;1392500;793
0,1;1390001;1397500;794
0,1;1395001;1402500;795
0,1;1400001;1407500;796
0,1;1405001;1412500;797
0,1;1410001;1417500;798
0,1;1415001;1422500;799
0,1;1420001;1427500;800
0,1;1425001;1432500;801
0,1;1430001;1437500;802
0,1;1435001;1442500;803
0,1;1440001;1447500;804
0,1;1445001;1452500;805
0,1;1450001;1457500;806
0,1;1455001;1462500;807
0,1;1460001;1467500;808
0,1;1465001;1472500;809
0,1;1470001;1477500;810
0,1;1475001;1482500;811
0,1;1480001;1487500;812
0,1;1485001;1492500;813
0,1;1490001;1497500;814
0,1;1495001;1502500;815
0,1;1500001;1507500;816
0,1;1505001;1512500;817
0,1;1510001;1517500;818
0,1;1515001;1522500;819
0,1;1520001;1527500;820
0,1;1525001;1532500;821
0,1;1530001;1537500;822
0,1;1535001;1542500;823
0,1;1540001;1547500;824
0,1;1545001;1552500;825
0,1;1550001;1557500;826
0,1;1555001;1562500;827
0,1;1560001;1567500;828
0,1;1565001;1572500;829
0,1;1570001;1577500;830
0,1;1575001;1582500;831
0,1;1580001;1587500;832
0,1;1585001;1592500;833
0,1;1590001;1597500;834
0,1;1595001;1602500;835
0,1;1600001;1607500;836
0,1;1605001;1612500;837
0,1;1610001;1617500;838
0,1;1615001;1622500;839
0,1;1620001;1627500;840
0,1;1625001;1632500;841
0,1;1630001;1637500;842
0,1;1635001;1642500;843
0,1;1640001;1647500;844
0,1;1645001;1652500;845
0,1;1650001;1657500;846
0,1;1655001;1662500;847
0,1;1660001;1667500;848
0,1;1665001;1672500;849
0,1;1670001;1677500;850
0,1;1675001;1682500;851
0,1;1680001;1687500;852
0,1;1685001;1692500;853
0,1;1690001;1697500;854
0,1;1695001;1702500;855
0,1;1700001;1707500;856
0,1;1705001;1712500;857
0,1;1710001;1717500;858
0,1;1715001;1722500;859
0,1;1720001;1727500;860
0,1;1725001;1732500;861
0,1;1730001;1737500;862
0,1;1735001;1742500;863
0,1;1740001;1747500;864
0,1;1745001;1752500;865
0,1;1750001;1757500;866
0,1;1755001;1762500;867
0,1;1760001;1767500;868
0,1;1765001;1772500;869
0,1;1770001;1777500;870
0,1;1775001;1782500;871
0,1;1780001;1787500;872
0,1;1785001;1792500;873
0,1;1790001;1797500;874
0,1;1795001;1802500;875
0,1;1800001;1807500;876
0,1;1805001;1812500;877
0,1;1810001;1817500;878
0,1;1815001;1822500;879
0,1;1820001;1827500;880
0,1;1825001;1832500;881
0,1;1830001;1837500;882
0,1;1835001;1842500;883
0,1;1840001;1847500;884
0,1;1845001;1852500;885
0,1;1850001;1857500;886
0,1;1855001;1862500;887
0,1;1860001;1867500;888
0,1;1865001;1872500;889
0,1;1870001;1877500;890
0,1;1875001;1882500;891
0,1;1880001;1887500;892
0,1;1885001;1892500;893
0,1;1890001;1897500;894
0,1;1895001;1902500;895
0,1;1900001;1907500;896
0,1;1905001;1912500;897
0,1;1910001;1917500;898
0,1;1915001;1922500;899
0,1;1920001;1927500;900
0,1;1925001;1932500;901
0,1;1930001;1937500;902
0,1;1935001;1942500;903
0,1;1940001;1947500;904
0,1;1945001;1952500;905
0,1;1950001;1957500;906
0,1;1955001;1962500;907
0,1;1960001;1967500;908
0,1;1965001;1972500;909
0,1;1970001;1977500;910
0,1;1975001;1982500;911
0,1;1980001;1987500;912
0,1;1985001;1992500;913
0,1;1990001;1997500;914
0,1;1995001;2002500;915
0,1;2000001;2007500;916
0,1;2005001;2012500;917
0,1;2010001;2017500;918
0,1;2015001;2022500;919
0,1;2020001;2027500;920
0,1;2025001;2032500;921
0,1;2030001;2037500;922
0,1;2035001;2042500;923
0,1;2040001;2047500;924
0,1;2045001;2052500;925
0,1;2050001;2057500;926
0,1;2055001;2062500;927
0,1;2060001;2067500;928
0,1;2065001;2072500;929
0,1;2070001;2077500;930
0,1;2075001;2082500;931
0,1;2080001;2087500;932
0,1;2085001;2092500;933
0,1;2090001;2097500;934
0,1;2095001;2102500;935
0,1;1;7500;936
0,1;5001;12500;937
0,1;10001;17500;938
0,1;15001;22500;939
0,1;20001;27500;940
0,1;25001;32500;941
0,1;30001;37500;942
0,1;35001;42500;943
0,1;40001;47500;944
0,1;45001;52500;945
0,1;50001;57500;946
0,1;55001;62500;947
0,1;60001;67500;948
0,1;65001;72500;949
0,1;70001;77500;950
0,1;75001;82500;951
0,1;80001;87500;952
0,1;85001;92500;953
0,1;90001;97500;954
0,1;95001;102500;955
0,1;100001;107500;956
0,1;105001;112500;957
0,1;110001;117500;958
0,1;115001;122500;959
0,1;120001;127500;960
0,1;125001;132500;961
0,1;130001;137500;962
0,1;135001;142500;963
0,1;140001;147500;964
0,1;145001;152500;965
0,1;150001;157500;966
0,1;155001;162500;967
0,1;160001;167500;968
0,1;165001;172500;969
0,1;170001;177500;970
0,1;175001;182500;971
0,1;180001;187500;972
0,1;185001;192500;973
0,1;190001;197500;974
0,1;195001;202500;975
0,1;200001;207500;976
0,1;205001;212500;977
0,1;210001;217500;978
0,1;215001;222500;979
0,1;220001;227500;980
0,1;225001;232500;981
0,1;230001;237500;982
0,1;235001;242500;983
0,1;240001;247500;984
0,1;245001;252500;985
0,1;250001;257500;986
0,1;255001;262500;987
0,1;260001;267500;988
0,1;265001;272500;989
0,1;270001;277500;990
0,1;275001;282500;991
0,1;280001;287500;992
0,1;285001;292500;993
0,1;290001;297500;994
0,1;295001;302500;995
0,1;300001;307500;996
0,1;305001;312500;997
0,1;310001;317500;998
0,1;315001;322500;999
0,1;320001;327500;1000
0,1;325001;332500;1001
0,1;330001;337500;1002
0,1;335001;342500;1003
0,1;340001;347500;1004
0,1;345001;352500;1005
0,1;350001;357500;1006
0,1;355001;362500;1007
0,1;360001;367500;1008
0,1;365001;372500;1009
0,1;370001;377500;1010
0,1;375001;382500;1011
0,1;380001;387500;1012
0,1;385001;392500;1013
